,URL,Verified,Verified Accounts,Year,Quarter,Month,Day,Name / ID,Location,Has Description,Followers,Status Available,Accounts Without a Link,Brand,Market,Platform
0,twitter.com/_gr_SA,False,False,2021,Qtr 1,March,9,Axe,Greece,Has Description,113.0,True,Has Link,germanrosy,United States of America,Twitter
1,twitter.com/_idand,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,10.0,True,Has Link,carslord,India,Twitter
2,twitter.com/_nluay,True,True,2021,Qtr 1,March,9,Axe,Amsterdam,Has Description,31393.0,True,Has Link,vandawn,Argentina,Twitter
3,twitter.com/elllub,True,True,2021,Qtr 1,March,9,Axe,Deutschland Österreich Schweiz,Has Description,1326.0,True,Has Link,aquapeak,Austria,Twitter
4,twitter.com/_SAina,True,True,2021,Qtr 1,March,9,Axe,South Africa,Has Description,21731.0,True,Has Link,dualjape,Azerbaijan,Twitter
5,twitter.com/andjan,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1068.0,True,Has Link,weiwind,Bangladesh,Twitter
6,twitter.com/uayebr,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,10347.0,True,Has Link,osvent,Belgium,Twitter
7,twitter.com/lubada,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,2888.0,True,No Link,songseem,"Bolivia, Plurinational State of",Twitter
8,twitter.com/inabia,True,True,2021,Qtr 1,March,9,Axe,Argentina,Has Description,19685.0,True,Has Link,handfoxy,Brazil,Twitter
9,twitter.com/jan_ru,False,False,2021,Qtr 1,March,9,Axe,Azərbaycan,Has Description,21.0,True,Has Link,aquapeak,Canada,Twitter
10,twitter.com/ebrnce,True,True,2021,Qtr 1,March,9,Axe,Brasil,Has Description,16725.0,True,Has Link,handfoxy,Chile,Twitter
11,twitter.com/adaece,True,True,2021,Qtr 1,March,9,Axe,Canada,Has Description,4435.0,True,Has Link,dualjape,Colombia,Twitter
12,twitter.com/biaeJP,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,34.0,False,No Link,dualjape,Costa Rica,Twitter
13,twitter.com/_ruico,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,0.0,True,Has Link,techfond,Czechia,Twitter
14,twitter.com/nceast,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,13568.0,True,Has Link,ironsoft,Denmark,Twitter
15,twitter.com/eceuay,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,8.0,True,Has Link,handfoxy,Ecuador,Twitter
16,twitter.com/eJPnes,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,9545.0,True,Has Link,dualjape,El Salvador,Twitter
17,twitter.com/icosia,True,True,2021,Qtr 1,March,9,Axe,México,Has Description,24303.0,True,Has Link,aquapeak,Finland,Twitter
18,twitter.com/astiye,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1393.0,True,Has Link,bassvest,France,Twitter
19,twitter.com/uayela,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,6054.0,True,Has Link,dualjape,Global,Twitter
20,twitter.com/nesepy,True,True,2021,Qtr 1,March,9,Axe,Philippines,Has Description,7340.0,True,Has Link,vandawn,Greece,Twitter
21,twitter.com/siaMen,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1455.0,True,No Link,dualjape,Guatemala,Twitter
22,twitter.com/iye_th,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,15483.0,True,Has Link,dualjape,Honduras,Twitter
23,twitter.com/elabia,False,False,2021,Qtr 1,March,9,Axe,El Paraíso,Has Description,262.0,True,Has Link,handfoxy,Hungary,Twitter
24,twitter.com/epyina,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,118.0,True,No Link,handfoxy,India,Twitter
25,twitter.com/Menypt,True,True,2021,Qtr 1,March,9,Axe,United Kingdom,Has Description,4427.0,True,Has Link,germanrosy,Indonesia,Twitter
26,twitter.com/_thair,True,True,2021,Qtr 1,March,9,Axe,Thailand,Has Description,212.0,True,Has Link,aquapeak,Japan,Twitter
27,twitter.com/biaeJP,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,7063.0,True,No Link,dualjape,Costa Rica,Twitter
28,twitter.com/inasia,False,False,2021,Qtr 1,March,9,Axe,Argentina,Has Description,8653.0,True,Has Link,germanrosy,Kazakhstan,Twitter
29,twitter.com/yptsia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,9137.0,True,No Link,handfoxy,Malaysia,Twitter
30,twitter.com/airuay,True,True,2021,Qtr 1,March,9,Axe,United States,Has Description,33900.0,True,Has Link,dualjape,Mexico,Twitter
31,twitter.com/eJPiye,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,4398.0,True,Has Link,handfoxy,Netherlands,Twitter
32,twitter.com/sianTR,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,55487.0,True,Has Link,aquapeak,Nicaragua,Twitter
33,twitter.com/siaree,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,11145.0,True,Has Link,dualjape,Norway,Twitter
34,twitter.com/uayeCA,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,4693.0,True,Has Link,songseem,Panama,Twitter
35,twitter.com/iyemen,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,5905.0,True,Has Link,ironsoft,Paraguay,Twitter
36,twitter.com/nTRove,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,2941.0,True,Has Link,germanrosy,Peru,Twitter
37,twitter.com/ree_ar,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,46092.0,True,Has Link,techfond,Philippines,Twitter
38,twitter.com/eCAbia,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3304.0,True,Has Link,handfoxy,Poland,Twitter
39,twitter.com/men_bo,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,22852.0,True,Has Link,techfond,Portugal,Twitter
40,twitter.com/oveIDN,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,188739.0,True,Has Link,dualjape,Russian Federation,Twitter
41,twitter.com/_arind,True,True,2021,Qtr 1,March,9,Axe,Argentina,Has Description,31492.0,True,Has Link,carslord,Saudi Arabia,Twitter
42,twitter.com/biakor,True,True,2021,Qtr 1,March,9,Axe,Middle East,Has Description,48437.0,True,Has Link,ironsoft,Slovakia,Twitter
43,twitter.com/_boTAM,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,10.0,True,No Link,dualjape,South Africa,Twitter
44,twitter.com/IDNmex,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,1.0,True,No Link,ironsoft,Spain,Twitter
45,twitter.com/ind_nl,True,True,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,14941.0,True,Has Link,aquapeak,Sweden,Twitter
46,twitter.com/korell,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,7539.0,True,Has Link,vandawn,Switzerland,Twitter
47,twitter.com/TAM_ph,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,3725.0,True,Has Link,bassvest,Thailand,Twitter
48,twitter.com/mex_pk,True,True,2021,Qtr 1,March,9,Axe,Mexico City,Has Description,7630.0,True,Has Link,dualjape,Turkey,Twitter
49,twitter.com/_nl_PY,False,False,2021,Qtr 1,March,9,Axe,Rotterdam,Has Description,14796.0,True,Has Link,handfoxy,United States of America,Twitter
50,twitter.com/ell_th,True,True,2021,Qtr 1,March,9,Axe,"Hamburg, Germany",Has Description,1152.0,True,Has Link,aquapeak,Uruguay,Twitter
51,twitter.com/_ph_TR,False,False,2021,Qtr 1,March,9,Axe,Philippines,Has Description,12441.0,True,Has Link,dualjape,"Venezuela, Bolivarian Republic of",Twitter
52,twitter.com/_pk_uy,False,False,2021,Qtr 1,March,9,Axe,Pakistan,Has Description,2693.0,True,Has Link,dualjape,Global,Twitter
53,twitter.com/_PY_za,False,False,2021,Qtr 1,March,9,Axe,Vietnam,Has Description,8094.0,True,Has Link,aquapeak,Paraguay,Twitter
